brca_smc_2018:brca_smc_2018_BR148	LATS2,CDH1,PIK3CA,RASAL3,CDK11B
brca_smc_2018:brca_smc_2018_BR154	OR5M10,SOX10,CDH1,CBFB,PIK3CA,MROH9,WDTC1,AGBL4,SLC12A5,HDAC9,ATG2B
brca_smc_2018:brca_smc_2018_BR202	TENM3,INSIG2,ABCA5,DDB1
brca_smc_2018:brca_smc_2018_BR251	MYH9,UBR7,POLR2H,GIMAP8,PARP9,HPS5,NOG,ZNF696,MRTFA,CCER1,ZNF185,DACT1,ASXL3,ZFHX3,UNC5D,EZHIP,PCDHA1
brca_smc_2018:brca_smc_2018_BR259	KMT2C,BRINP1,GRK6,FAM120C,MAP3K13,FOXG1,PIK3CA,NUFIP2,CDH1,ETFA,A2M,NSD3,HMGCR,GPC5,CCDC66,EYS,PTEN,TBKBP1,CCDC150
brca_cptac_2020:CPT000814	ABCG8,SOX11,SEMA6C,SPTA1,CSTF2T,LRP12,PRSS35,AOC1,SEMA4C,YY1AP1,KIFC2,PLCB1,TENM4,EPDR1,ZNF77,NIBAN3,ATP1B3,TP53,PTGER3,ZNF213,API5,CPNE8,IFT88,THBS4,ZNF33A,NIF3L1,FBXW8,PIK3R2,SYDE1,CCDC39,DENND5A,PRUNE1,CANX,NOL11,ADA,MAGEC1,NFE2L2,OR6P1,C12ORF71,ITIH6,JCAD,SLC44A2,SIK3,PLEKHF1,TRIM71,SLC28A3,KHSRP,PAPPA,MGMT,TRIQK,ELL2,CDH11,NOTCH1,ZCCHC2,CBS,SLC23A1,MYO6,SSH2,SRRM4,DDX42,SEC14L2,BMP4,MEPCE,TNN,PIKFYVE,AHCTF1,CDKL2,LRRIQ1,ZNF689,KMO,E4F1,SZT2,SSTR4,IGSF9B,TRAPPC13,TTYH1,ACTRT1,SLTM,FOXA2,GMPS,FADS6
brca_cptac_2020:CPT001846	MYH15,ZFP28,MMP16,NPY1R,SORT1,RBM7,PROB1,DCHS2,ADAMTS12,GBP1,POU5F1B,GLI3,ASXL3,STAG2,DOCK10,IKZF4,PLRG1,CILP,SPRR1B,COG7,SMPDL3B,C1QL2,CDH26,CBLL2,PSD4,REG3A,MYO9B,NPPB,PIK3CA,IRS1,CFAP44,POPDC3,LCOR,ATRN,LGALS1,PEAK1,F11,SMPD1,DUS1L,RELB,ABCA13,PKHD1L1,SRGAP1,UQCC4,CHM,SMARCD3,C11ORF24,MRGPRX1,DDX42,IQCD,CNTRL,TTLL1,ZNF442,ANKRD33B,FRY,MUC16,TP53,ELF1,LDLRAP1,NEK10,UBAP2,BTBD3,BICD1,KNDC1,C10ORF71,ACTR3,TPSG1,UBR2,SLC20A1
brca_jup_msk_2020:JuP1	RALB,DBT,GPR25,RNPEPL1,STOML1,FRG1
brca_jup_msk_2020:JuP2	STK3,COG2,VPS13D,GMIP,KRBOX4,OR2J3,RAPH1,NDUFAB1,RBM46,CRACDL,IGSF3,PIK3CA,KBTBD2,SCTR,CLRN1,EEF2,MYH2,SFXN4
brca_jup_msk_2020:JuP3-DCIS	VPS41,KMT2C,CTSW,DOCK2,AKAP12,EXOC6,MARCHF11,STAG2,NUP93,KLF2,HTR3B,CLEC12B,SMG1,PIK3CA,KEAP1,PIK3CB,MYO7A,IFITM10,BTBD17,MED13,CKAP2L,FMN2,NUTM2F,ARID1A,ANKS1A,SLC24A4,CEP170,TLN1,BRWD1,FAM83G,JMJD7-PLA2G4B,ETV3,TINAG,LAMA1,CD33,ENOX1,PPP6R3,DOCK9,PIK3C2A,CES1
brca_jup_msk_2020:JuP3-IDC	VPS41,KMT2C,CTSW,HIRA,MARCHF11,AKAP12,NBEA,NUP93,KLF2,FGF12,ACIN1,PIK3C2A,LRRC71,FANCD2,CLEC12B,DSC1,SMG1,PIK3CA,RABGAP1L,KEAP1,PIK3CB,MED13,CKAP2L,NUTM2F,SLC24A4,MYPN,TLN1,FAM83G,TINAG,ENOX1,PPP6R3,ARID1A,CES1
brca_jup_msk_2020:JuP3-JP	SMG1,PIK3CA,CES1
brca_metabric:MB-0035	NCOR1,KMT2C,CDH1,NF1,PIK3CA
brca_metabric:MB-0083	PIK3CA
brca_metabric:MB-0101	PIK3CA,CDH1
brca_metabric:MB-0102	CDH1,AKT1,CBFB,TP53
brca_metabric:MB-0112	MYH9,MUC16,GPS2,CDH1,BIRC6,AHNAK2,THSD7A,ARID1A
brca_metabric:MB-0116	GPS2,CDH1
brca_metabric:MB-0139	PIK3CA
brca_metabric:MB-0145	MAP3K1,CDH1
