Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		6	6	731	0.8%	No
STPG2		3	3	528	0.6%	No
KRT6C		3	3	913	0.3%	No
INSL3		2	2	507	0.4%	No
ASPM		51	42	1676	2.5%	No
OGN		7	7	1454	0.5%	No
INSIG1		4	4	463	0.9%	No
FOXD2		2	2	338	0.6%	No
FOXM1		9	9	1366	0.7%	No
FOXC2		2	2	316	0.6%	No
FOXJ1		2	2	338	0.6%	No
LAMA1		30	29	1654	1.8%	No
FOXL1		2	2	338	0.6%	No
INPP4A		23	23	2329	1.0%	Yes
INPP5A		3	3	152	2.0%	No
INPP5B		8	8	1332	0.6%	No
INPP5D		10	7	819	0.9%	Yes
FOXO3		5	4	632	0.6%	Yes
INPPL1		29	24	1960	1.2%	Yes
OGDH		13	13	1619	0.8%	No
FOXO1		9	9	1212	0.7%	Yes
FOXS1		1	1	122	0.8%	No
OGG1		1	1	122	0.8%	No
PDX1		1	1	190	0.5%	No
TNFRSF11B		4	3	629	0.5%	No
FLNB		23	21	1519	1.4%	No
FLNA		21	20	1454	1.4%	No
A1BG		5	5	273	1.8%	No
A2M		13	13	1090	1.2%	No
FLII		15	15	1332	1.1%	No
FLI1		7	7	1105	0.6%	Yes
METRNL		2	2	507	0.4%	No
FLG		117	93	1676	5.5%	No
NAT1		2	2	127	1.6%	No
OLR1		3	3	506	0.6%	No
INSM1		1	1	216	0.5%	No
INSR		23	22	2377	0.9%	Yes
OMG		2	2	316	0.6%	No
INSRR		11	11	1303	0.8%	No
OPA1		9	9	1193	0.8%	No
EIF3E		1	1	507	0.2%	Yes
FLOT2		8	8	947	0.8%	No
OPCML		5	5	945	0.5%	No
FLNC		39	33	1454	2.3%	No
SIX6		1	1	239	0.4%	No
OR1D2		3	2	302	0.7%	No
IRF2		3	3	528	0.6%	Yes
IRF3		14	10	1397	0.7%	No
OR1F1		2	2	607	0.3%	No
IRF4		13	13	1397	0.9%	Yes
OR2C1		2	2	210	1.0%	No
FMOD		6	6	731	0.8%	No
CDH2		5	5	888	0.6%	No
FMO5		4	4	797	0.5%	No
WFDC9		1	1	100	1.0%	No
FMO3		8	8	1454	0.6%	No
FMO2		9	9	1454	0.6%	No
FMO1		10	10	1338	0.7%	No
FLT4		26	25	2211	1.1%	Yes
FLT3LG		7	7	1084	0.6%	No
WFDC11		3	3	819	0.4%	No
FLT3		29	28	2189	1.3%	Yes
FLT1		35	34	2204	1.5%	Yes
IPP		11	9	1295	0.7%	No
OPHN1		9	6	629	1.0%	No
IRAK1		6	6	1238	0.5%	No
OPRD1		5	5	968	0.5%	No
ITGA6		8	8	1281	0.6%	No
OPRK1		11	11	1395	0.8%	No
IRAK2		8	8	1181	0.7%	No
OPRL1		9	9	1332	0.7%	No
OPRM1		8	8	1035	0.8%	No
IREB2		18	17	1454	1.2%	No
FMO4		6	6	1084	0.6%	No
IRF1		3	3	819	0.4%	Yes
ISL1		7	7	1216	0.6%	No
ISLR		4	4	877	0.5%	No
EFCAB9		1	1	100	1.0%	No
ITGA1		9	9	1084	0.8%	No
ITGA2		12	11	1519	0.7%	No
FNTB		4	4	616	0.6%	No
CDH12		15	13	1274	1.0%	No
CDH10		22	19	1676	1.1%	No
FNTA		1	1	122	0.8%	No
CDH9		18	17	1374	1.2%	No
CDH8		18	18	1576	1.1%	No
CDH7		10	10	1274	0.8%	No
CDH6		8	8	1025	0.8%	No
FN1		28	28	1511	1.9%	No
CDH5		5	5	708	0.7%	No
AFF2		35	31	1695	1.8%	No
CDH4		12	10	1391	0.7%	No
MRGPRX1		8	8	1029	0.8%	No
CDH3		5	5	555	0.9%	No
FMR1		10	9	1162	0.8%	No
IRF5		4	4	731	0.5%	No
OR3A1		4	4	1116	0.4%	No
IRF6		4	4	868	0.5%	No
